,id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,Ga_0,Ga_1,Ga_2,Ga_3,Ga_4,Ga_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5,O_0,O_1,O_2,O_3,O_4,O_5,In_0,In_1,In_2,In_3,In_4,In_5
20,21,33,80.0,0.0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.99799999999999,90.0,0.0918,1.1365,9.590704922338062,-0.5206470583082461,-5.94841544032092,-2.9875729833528317,-3.642289482017145,3.5082200416610765,0.0,0.0,0.0,0.0,0.0,0.0,-10.69816922353096,-13.013335881228794,18.259564923253738,-1.5808818287085105,-7.561395699722776,14.594217709937304,-2.639766118883809,8.36794086313936,-10.299183056396872,-5.609821262982048,12.938949175280673,-2.758119600157317
21,22,167,30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0566,3.9691,-5.052334614669807,-1.8482179072460678,-2.295246826816139,2.3766623510936453,7.347581441485949,-0.5284444438475774,-6.850777188099271,1.6816303499866252,-7.006384262576111,-1.6690882067330597,13.857161450675381,-0.01254214325356366,-11.955035301895412,-4.371538418454315,-6.478580697415033,5.332534832855373,18.433615999310447,-0.9609964144010527,0,0,0,0,0,0
22,23,167,30.0,0.6667,0.0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,0.2027,2.9122,0.0,0.0,0.0,0.0,0.0,0.0,-7.629013182578067,-1.8429097657418982,-5.492627073467691,2.0544231578178977,13.121640256045756,-0.21151339207599887,-12.30836691177058,-4.477035260790529,-6.571405167105275,5.486205868988177,18.87977207887585,-1.009170608197649,-4.08311012643594,2.2205918013455603,-5.183187916426928,-2.051532242536424,9.266298042862866,-0.1690595588091349
23,24,194,80.0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,0.2753,1.1811,-18.139205470544322,-5.88483208428001,-14.642317844702822,6.318761432732976,32.78152331524714,-0.4339293484529599,-8.703115178513537,2.133151719627509,-9.416460926466986,-2.077890510209536,18.119576104980524,-0.05526120941797179,-29.12830859221459,-10.019863328220369,-27.83700323358827,10.172438210160477,56.96531182580285,-0.15257488194010818,-7.247349007291955,3.356819274385984,-11.716757633353676,-2.8678175015843808,18.96410664064564,-0.4890017728015974
24,25,167,30.0,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,0.0916,4.0371,-5.100997352541727,-0.7139803656326484,-1.4584682185038582,1.038340026264628,6.559465571045587,-0.3243596606319786,-6.689147953690905,2.2715394513155767,-7.233464843702955,-2.2130958536574785,13.922612797393862,-0.05844359765809935,-11.968951200499857,-4.372879439499516,-6.4836501833682405,5.334794664512584,18.4526013838681,-0.9619152250130681,0,0,0,0,0,0
25,26,33,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1783,3.3353,0.0,0.0,0.0,0.0,0.0,0.0,-3.1417515034409655,6.103511035959276,-6.121177459676481,-4.921449582083528,9.262928963117446,-1.1820614538757468,-1.7915243740328701,9.201191276019323,10.754567369427484,-3.346577671116243,-8.963042995394614,-5.85461360490308,-0.23516930568832944,1.255289274646891,3.7330316454346586,-0.5664062535713715,-3.4978623397463298,-0.688883021075518
26,27,227,40.0,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,0.3518,0.976,-7.419305576334725,-1.8244154964726589,-5.567240307269681,2.0065312405369635,12.986545883604407,-0.18211574406430606,-5.07238472907118,4.169323767465764,-7.346788112948525,-3.6895735490570374,12.419172842019707,-0.4797502184087261,-12.613198600486285,-6.466200723560265,-8.905252575232149,7.254281079183353,21.51845117571844,-0.7880803556230904,-4.5219618606212055,-1.4916815678176265,-1.956938275113503,1.945246254239186,6.478900135734708,-0.4535646864215609
27,28,227,40.0,0.875,0.125,0.0,9.7899,5.6664,13.9461,90.5713,90.6612,30.2512,0.2237,1.9672,-0.4770727456090447,3.131702639260515,6.237430497206242,-1.3790606446874683,-5.760357751597199,-1.7526419945730471,-1.5784590574742472,8.474013566788244,14.906922020763869,-3.5264152609900092,-13.328462963289628,-4.947598305798236,-1.142350882569479,15.423169987911356,18.638412250903833,-6.980205645523879,-17.496061368334356,-8.442964342387475,0,0,0,0,0,0
28,29,12,80.0,0.0938,0.5,0.4062,24.717,6.3698,6.2742,90.0001,104.8049,90.0001,0.1898,1.1496,30.83803831668254,-0.051448144483411805,-15.632455094746216,-5.549344063981832,-15.205583221936333,5.600792208465239,16.568426926046172,-0.07468541151166738,-8.975894239988238,-1.3044104095708235,-7.59253268605793,1.3790958210824904,53.44012977393992,-0.26649741555281786,-27.972734319527255,-8.393535834148734,-25.467395454412664,8.660033249701554,25.79678360223251,-0.1781732115138643,-13.896947367301255,-3.3631217165336937,-11.899836234931268,3.5412949280475567
29,30,206,80.0,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,90.00200000000001,90.00299999999999,89.9991,0.2106,3.3923,0.0,0.0,0.0,0.0,0.0,0.0,11.000057769109418,-3.445501559644655,-9.13794038560199,-6.090945936426193,-1.862117383507431,9.536447496070846,-11.826245931877105,-8.407181193402481,-1.368192793108196,14.44474024024241,13.194438724985307,-6.037559046839929,-2.4735678334900717,4.568611364314431,-5.105095780797272,-3.6207513402400373,7.578663614287344,-0.9478600240743907
30,31,194,80.0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.3269,1.546,-10.668594559159926,3.5435753124910407,-11.846560046219539,-3.422096816402179,22.515154605379468,-0.12147849608886685,-12.298762249115414,4.689177490519,-14.848829305499658,-4.404445677778556,27.147591554615072,-0.28473181274044296,-29.336119387695604,-9.967796983344483,-27.6271138821229,10.169179534622677,56.963233269818495,-0.20138255127821136,-14.133245020288168,-3.752594001822725,-8.630473891031068,4.410348321644183,22.76371891131924,-0.6577543198214505
31,32,227,40.0,0.0,0.25,0.75,10.4296,6.1786,15.1318,96.7363,97.9868,32.4294,0.2721,0.4095,-1.73040617396242,2.467394626671141,-7.786730095929786,-1.6038106861503254,9.517136269892205,-0.863583940520816,0.0,0.0,0.0,0.0,0.0,0.0,-0.49349987634214804,13.30777383612531,19.39595812468442,-6.396668002851485,-18.90245824834228,-6.911105833273824,-0.9554662649771792,9.835210102525474,-11.934388797748342,-5.485429685604675,12.889855062725514,-4.349780416920795
32,33,33,40.0,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.2342,2.1264,0.0,0.0,0.0,0.0,0.0,0.0,-1.1729342470102135,5.005625682749476,-7.442053366743744,-3.051289033047454,8.614987613753954,-1.9543366497020223,-2.114070193411608,9.527386486211947,11.31141445027319,-3.2905496892296844,-9.197344256861589,-6.236836796982263,-4.368504181067733,-2.677318032159472,-0.8938417234828071,4.18844423809214,5.262345904550538,-1.5111262059326696
33,34,12,80.0,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,89.9995,104.3985,90.0002,0.1469,2.4457,17.26381278108212,-0.12942240999448687,-7.951045251791011,2.5259225981784583,-9.312767529291099,-2.3965001881839734,35.48943602453138,-0.2569245823637175,-19.116022153715416,-4.858455774613,-16.373413870815956,5.11538035697672,52.69229432623226,-0.27150389090862426,-27.666612425191225,-7.989885665787645,-25.02568190104103,8.261389556696269,16.76177895881696,-0.12479323057316503,-8.911792658357976,-2.892600589518766,-7.849986300458976,3.0173938200919297
34,35,206,80.0,0.0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.00299999999999,89.9955,0.1259,1.3632,-9.500095464745822,-4.798487366524875,10.912123249449913,-3.149141103084718,-1.412027784704092,7.9476284696095885,0.0,0.0,0.0,0.0,0.0,0.0,-7.143494456701202,13.687970356244149,-8.283277482238042,-13.02996598059051,15.426771938939241,-0.6580043756536358,-6.555183675545227,-5.233761246829263,-4.302929008153413,6.011264761150488,10.858112683698646,-0.777503514321227
35,36,12,80.0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,0.1064,1.9758,23.265423752380816,-0.21165146269198443,-12.537411625410375,-3.976324980743198,-10.72801212697045,4.187976443435184,26.531218758858046,-0.045327987540175356,-13.492400640499081,-3.954363431095069,-13.038818118358963,3.9996914186352424,53.18564368240481,-0.26317432670096824,-27.861513625330623,-8.142937907306806,-25.324130057074186,8.406112234007775,25.058000306820194,-0.116622870807748,-13.226222369816979,-3.085237203446537,-11.831777937003215,3.201860074254288
36,37,33,40.0,0.5,0.0,0.5,5.2826,9.0207,9.6494,90.0033,90.0001,90.0006,0.2341,1.9983,0.0,0.0,0.0,0.0,0.0,0.0,-0.5076673361589913,5.315856723020392,-4.9170451232007935,-3.049354112950569,5.424712459359786,-2.266502610069824,-2.1771991110062503,9.592212485740916,11.422053599999959,-3.280338397486256,-9.244854488993711,-6.311874088254657,-2.2082468276461427,4.482869527529973,-6.3680256397026245,-3.2350527652938132,8.576272467348767,-1.247816762236159
37,38,33,80.0,0.3125,0.0625,0.625,10.7916,9.2003,9.827,90.0019,89.9989,90.0004,0.2993,1.3459999999999999,-0.6355765467611433,2.9982080269800675,-4.930222559285658,-1.7714344399629822,5.565799106046801,-1.226773587017085,-3.785611158902709,6.178631208500019,-5.798792643819276,-5.370040744593109,9.584403802721985,-0.8085904639069087,-10.44291530015593,-12.9071617939215,18.028997745800453,-1.439527168987146,-7.586082445644517,14.34668896290865,9.884616461941922,-2.2136360794604104,-7.317692064050307,-5.801837098569304,-2.5669243978916145,8.015473178029715
38,39,227,40.0,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,90.042,88.1559,120.0197,0.366,1.3392,-6.376534267515015,2.0446255171893046,-7.481454489057427,-1.9387582715718843,13.857988756572437,-0.10586724561741885,4.754601449673779,-1.1800557725615692,-0.1730059809722033,2.499038093241645,-4.5815954687015745,-1.3189823206800757,-12.39856650996466,-7.030363262925609,-10.715552350208352,7.380121344999533,23.114118860173015,-0.3497580820739235,-4.334490295433413,-3.6998147846638347,-3.421021566867036,4.00220417299224,7.75551186230045,-0.30238938832840623
39,40,194,80.0,0.0938,0.4688,0.4375,6.6763,6.676,24.590999999999998,90.0029,90.0,119.9897,0.2545,0.927,-14.96541386381472,6.5670133503094545,-15.959483666446713,-6.42777573005305,30.92489753026143,-0.13923762025640318,-9.508769768456382,-0.9714007960529509,-6.199994966079978,1.1181067949734649,15.708764734536365,-0.14670599892051198,-29.187032235176535,-10.250645136657798,-28.24309392095619,10.363585641068173,57.43012615613272,-0.11294050441037942,-11.736293757664901,3.9968075741853695,-12.52606714826213,-3.911004172507552,24.262360905927025,-0.08580340167781879
40,41,12,80.0,0.2812,0.3438,0.375,24.5303,6.2989,6.2039,89.9999,104.7882,90.0001,0.1647,1.5402,26.052763774345326,-0.0647811720872034,-12.698608181879514,3.8941903876102404,-13.354155592465812,-3.8294092155230373,20.854254754958852,-0.03748350327951362,-10.612127446597231,-3.1502727123556316,-10.242127308361612,3.1877562156351456,53.02987003804054,-0.2751592275636586,-27.812738157564983,-8.294934712214475,-25.217131880475566,8.570093939778126,27.355369744625964,-0.3672952577484229,-15.508052395395529,-3.9333524221188165,-11.847317349230432,4.300647679867237
41,42,33,80.0,0.8125,0.0312,0.1562,10.0379,8.6076,9.2385,90.005,90.00200000000001,90.001,0.1573,3.4388,0.0,0.0,0.0,0.0,0.0,0.0,-9.41874514983005,-6.280715919394336,-1.9438451594845596,9.80891274380506,11.362590309314609,-3.5281968244107227,-9.255837398915258,-12.34462519509302,16.92295625227452,-0.7975630371657004,-7.66711885335927,13.142188232258714,-2.204178706691266,2.9151645534625437,7.3540502685703455,-0.6867588835944229,-5.149871561879077,-2.2284056698681214
42,43,33,80.0,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,90.00399999999999,90.0011,90.0007,0.2876,2.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.962526143258712,9.673357166277688,-10.287843419300666,-5.485120900994771,11.250369562559376,-4.188236265282919,-9.719942969767377,-12.568539204782473,17.35831593119961,-1.046630390514308,-7.6383729614322196,13.615169595296779,7.358768358018456,-0.7802769399446076,-2.6505217308891984,4.575739713351035,-4.708246627129262,-3.7954627734064252
43,44,194,80.0,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,0.2093,3.9989,0.0,0.0,0.0,0.0,0.0,0.0,-21.49537348816981,-6.895977828533124,-19.041993753402412,7.179942811933264,40.537367241572234,-0.2839649834001279,-29.628355070793187,-9.154614078818899,-25.883047961998507,9.575857059988051,55.5114030327917,-0.42124298116915926,0,0,0,0,0,0
44,45,206,80.0,0.4062,0.3438,0.25,9.4551,9.4548,9.4548,90.00299999999999,90.0032,89.9969,0.2108,2.3055,-6.085474825974682,-3.4013974396247715,6.271411312770195,-3.107572214586583,-0.1859364867955122,6.508969654211359,-7.602602622721741,-4.887280833825911,8.359594813742572,-3.669840549013539,-0.7569921910208282,8.55712138283945,-9.434561175625788,-11.544640285340039,-5.281340947054846,13.942342478459596,14.715902122680633,-2.3977021931195472,-4.082350036417152,-4.927892213587203,-3.329288017936661,5.273393935900695,7.4116380543538165,-0.34550172231349385
45,46,12,80.0,0.5,0.5,0.0,24.401999999999997,6.0269,5.7748,89.9995,103.8357,90.0002,0.0219,2.8387,26.070121991797038,-0.16412081587929675,-13.736769996651512,-4.4910422102131635,-12.333351995145527,4.6551630260924615,34.787828933374826,-0.11574730495486989,-18.096353312675408,-4.2413590856468995,-16.691475620699418,4.357106390601768,53.42032622416902,-0.241353906711604,-27.92646318449006,-7.829584288414728,-25.493863039678956,8.070938195126326,0,0,0,0,0,0
46,47,194,80.0,0.6875,0.2188,0.0938,6.2346,6.2343,23.7022,90.0153,90.0037,120.0014,0.3124,2.0234,-11.636756531610956,-2.0781387815734234,-6.306256963139613,2.5349573855655403,17.943013494750566,-0.45681860399211915,-16.55359825188058,-5.9087059042005725,-15.304897791861505,6.065145108012133,31.85849604374208,-0.15643920381155746,-29.452786547962116,-9.442708569566864,-26.551912010486515,9.77450650392351,56.00469855844861,-0.33179793435665594,-7.7771712193627485,1.4929312046998078,-11.36808892641514,-1.317237835686669,19.145260145777897,-0.17569336901314228
47,48,33,80.0,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,90.0035,90.0016,90.0009,0.2123,2.5317,-4.974221137784131,-2.357545892977062,6.284764537517399,-1.1371873893581486,-1.3105433997332667,3.494733282335211,-6.280919321610843,-6.934695676651482,-4.041906019916459,8.01559830354646,10.3228253415273,-1.0809026268949748,-9.51240689203473,-12.46407129783394,17.162204629448723,-0.9356638355877474,-7.649797737413997,13.399735133421686,-2.533736812809015,4.769637572398306,-4.8980908918289146,-3.8550239063374447,7.431827704637927,-0.9146136660608604
48,49,227,40.0,0.0625,0.625,0.3125,10.4654,6.0606,14.7182,88.075,87.7806,30.3034,0.2456,0.6786,13.045846133963583,-0.6339540354663804,-7.316862395974138,-7.495773749881862,-5.72898373798944,8.12972778534824,0.0,0.0,0.0,0.0,0.0,0.0,-9.61107074910831,12.176606258609226,22.543803402803096,-1.14009352750671,-12.932732653694789,-11.036512731102517,-2.497496318627873,4.659337372189706,10.245256293176498,-1.3595691407093777,-7.747759974548624,-3.2997682314803276
49,50,194,80.0,0.8438,0.125,0.0312,6.142,6.1416,23.5046,90.0119,90.0019,120.0044,0.2261,3.4819,-10.591515252502113,-2.2209410068740585,-8.506831964525478,2.388661657052134,19.0983472170276,-0.16772065017807478,-18.689313131396467,-6.47334346292463,-16.99493533780837,6.681552638185006,35.684248469204825,-0.20820917526038046,-29.54275352495218,-9.26920696819427,-26.160534826223227,9.652165934846478,55.703288351175395,-0.382958966652205,0,0,0,0,0,0
50,51,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1608,2.5143,-6.1263755229029755,-1.4440797423437859,-3.3891065941247454,1.7503920702972962,9.515482117027727,-0.3063123279535116,-5.258705760044083,-2.212307703323432,-5.1728925510309764,2.2244737666076633,10.431598311075058,-0.012166063284230906,-12.338773611522498,-4.500252965309285,-6.576204158939009,5.517585952795422,18.914977770461512,-1.0173329874861323,-3.3465514030775365,0.5260051941473946,-4.3976797663200475,-0.48046878874066806,7.744231169397585,-0.04553640540672716
51,52,194,80.0,0.5,0.5,0.0,6.2225,6.2224,23.7226,90.0187,89.9985,120.0009,0.1117,2.9429,-12.251907156752807,3.6149730771508692,-14.287281314635432,-3.43475120586889,26.53918847138823,-0.180221871281978,-17.512585225569737,-5.878075858883291,-14.023928254826249,6.328172248177052,31.53651348039598,-0.45009638929376045,-29.222343430309326,-9.451739567110769,-26.70224026215724,9.740015912341045,55.92458369246656,-0.2882763452302754,0,0,0,0,0,0
